Image: 0797089377f6f45f3278042aa1d0631d.jpg, Predicted Label: tobacco shop
Image: toys_store_27_19_altavista.jpg, Predicted Label: toyshop
Image: toys_store_31_04_altavista.jpg, Predicted Label: toyshop
Image: toys_store_34_02_altavista.jpg, Predicted Label: toyshop
Image: toys_store_34_07_altavista.jpg, Predicted Label: bookshop
Image: toys_store_35_03_altavista.jpg, Predicted Label: toyshop
Image: toys_store_36_07_altavista.jpg, Predicted Label: grocery store
Image: toys_store_37_06_altavista.jpg, Predicted Label: library
Image: toys_store_41_15_altavista.jpg, Predicted Label: grocery store
Image: toys_store_41_20_altavista.jpg, Predicted Label: tobacco shop
Image: toys_store_42_11_altavista.jpg, Predicted Label: toyshop
Image: toys_store_43_03_altavista.jpg, Predicted Label: restaurant
Image: toys_store_43_05_altavista.jpg, Predicted Label: toyshop
Image: toys_store_43_15_altavista.jpg, Predicted Label: tobacco shop
Image: toys_store_44_03_altavista.jpg, Predicted Label: toyshop
Image: toys_store_45_05_altavista.jpg, Predicted Label: bookcase
Image: toys_store_45_15_altavista.jpg, Predicted Label: library
Image: toys_store_45_17_altavista.jpg, Predicted Label: grocery store
Image: toys_store_45_18_altavista.jpg, Predicted Label: grocery store
Image: toys_store_47_02_altavista.jpg, Predicted Label: bookcase
Image: toys_store_48_16_altavista.jpg, Predicted Label: confectionery
Image: toys_store_51_04_altavista.jpg, Predicted Label: toyshop
Image: toystoregreat.jpg, Predicted Label: toyshop
Image: url.jpg, Predicted Label: toyshop
Image: url4.jpg, Predicted Label: toyshop
Image: url56.jpg, Predicted Label: toyshop
